city,timestamp,condition,temperature,humidity,visibility,cloudiness
Burnaby,2020-09-01 19:41:12.481582,clouds,20.140000000000043,77,10000,75
Vancouver,2020-09-01 19:41:12.481582,clouds,20.060000000000002,77,10000,75
Richmond,2020-09-01 19:41:12.481582,clouds,19.970000000000027,77,10000,75
