city,timestamp,condition,temperature,humidity,visibility,cloudiness
Burnaby,2020-09-01 19:12:56.651464,clear,21.060000000000002,70,10000,1
Vancouver,2020-09-01 19:12:56.651464,clouds,21.08000000000004,69,10000,19
Richmond,2020-09-01 19:12:56.651464,clouds,21.110000000000014,69,10000,15
